,T, N, M, i
[19, 19, 18, 12, 15, 12, 18, 17, 10, 18, 16, 12, 10, 18, 10, 15, 19, 17, 19, 20, 15, 16, 13, 18, 11, 13, 10, 16, 14, 18, 18, 13, 20, 10, 18, 16, 20, 12, 19, 12, 13, 19, 13, 11, 16, 13, 17, 11, 17, 17, 10, 17, 13, 15, 17, 12, 11, 15, 10, 10, 10, 12, 13, 17, 17, 11, 15, 17, 17, 13, 18, 13, 13, 20, 14, 17, 10, 18, 14, 15, 18, 18, 12, 12, 18, 10, 15, 14, 20, 12, 11, 12, 12, 10, 10, 11, 11, 14, 13, 11, 17], 10, 101, 0
[18, 13, 11, 18, 10, 18, 10, 20, 16, 19, 12, 17, 10, 19, 15, 18, 12, 13, 20, 17, 16, 16, 15, 18, 11, 16, 18, 14, 10, 18, 11, 18, 13, 20, 10, 19, 15, 14, 14, 17, 16, 12, 20, 20, 10, 18, 10, 19, 13, 20, 16, 12, 15, 12, 12, 10, 12, 10, 20, 10, 15, 20, 18, 16, 11, 12, 18, 13, 12, 11, 17, 11, 13, 15, 15, 11, 15, 13, 11, 11, 20, 16, 18, 20, 14, 13, 18, 20, 15, 18, 14, 16, 14, 14, 20, 11, 11, 14, 12, 20, 14], 10, 101, 1
[14, 20, 13, 12, 17, 15, 11, 20, 13, 13, 14, 12, 19, 12, 18, 17, 11, 11, 11, 15, 19, 20, 17, 10, 11, 13, 16, 12, 12, 18, 17, 14, 15, 20, 16, 17, 11, 16, 18, 12, 13, 20, 15, 17, 10, 18, 17, 19, 10, 11, 19, 17, 14, 14, 19, 19, 17, 18, 20, 12, 15, 12, 16, 16, 15, 13, 13, 14, 12, 16, 11, 12, 15, 10, 18, 16, 12, 10, 17, 17, 14, 12, 13, 10, 10, 17, 18, 10, 20, 12, 13, 14, 12, 16, 17, 17, 15, 17, 14, 18, 14], 10, 101, 2
[10, 20, 12, 16, 18, 11, 17, 10, 18, 18, 11, 20, 19, 11, 19, 16, 16, 12, 20, 13, 11, 13, 13, 16, 15, 18, 16, 13, 13, 19, 20, 11, 15, 14, 14, 13, 19, 12, 10, 12, 19, 18, 14, 20, 14, 20, 11, 11, 16, 11, 12, 20, 18, 17, 17, 13, 14, 18, 14, 17, 13, 12, 11, 17, 18, 15, 15, 17, 12, 20, 19, 10, 10, 12, 20, 14, 16, 16, 14, 19, 13, 18, 17, 15, 10, 13, 12, 11, 15, 10, 19, 15, 18, 12, 14, 13, 17, 10, 14, 15, 15], 10, 101, 3
[19, 17, 16, 10, 19, 16, 13, 11, 12, 15, 18, 19, 16, 14, 19, 15, 13, 19, 10, 20, 20, 10, 15, 19, 20, 10, 10, 11, 19, 10, 14, 15, 16, 17, 15, 16, 10, 11, 20, 18, 17, 12, 16, 16, 11, 17, 13, 11, 13, 14, 13, 16, 17, 13, 13, 20, 15, 20, 10, 15, 12, 14, 19, 18, 10, 19, 20, 12, 11, 17, 18, 16, 12, 11, 11, 20, 10, 17, 11, 10, 14, 19, 15, 13, 12, 12, 13, 11, 19, 14, 12, 19, 18, 17, 10, 14, 12, 17, 19, 15, 14], 10, 101, 4
[10, 20, 11, 15, 20, 19, 20, 18, 12, 18, 14, 10, 17, 16, 11, 19, 17, 19, 17, 18, 13, 10, 13, 12, 16, 15, 17, 12, 14, 18, 11, 19, 17, 13, 18, 10, 11, 17, 17, 17, 20, 12, 15, 19, 15, 19, 10, 12, 18, 17, 13, 12, 16, 13, 12, 15, 16, 19, 18, 20, 19, 19, 19, 11, 14, 17, 12, 17, 10, 14, 11, 13, 18, 14, 20, 15, 18, 15, 10, 10, 13, 17, 10, 16, 18, 18, 19, 10, 17, 15, 11, 11, 10, 17, 10, 13, 11, 16, 14, 16, 20], 10, 101, 5
[12, 13, 15, 20, 20, 17, 15, 17, 16, 14, 12, 14, 18, 12, 19, 16, 15, 14, 16, 19, 19, 10, 10, 13, 13, 14, 16, 17, 15, 10, 17, 13, 18, 18, 14, 18, 13, 17, 16, 19, 12, 14, 14, 17, 15, 19, 17, 18, 11, 14, 15, 11, 12, 16, 17, 15, 14, 17, 15, 11, 14, 12, 17, 18, 18, 17, 10, 20, 14, 11, 13, 17, 17, 11, 11, 13, 14, 12, 18, 13, 13, 14, 20, 12, 14, 18, 11, 10, 20, 19, 15, 11, 16, 10, 15, 18, 19, 13, 14, 19, 10], 10, 101, 6
[12, 13, 16, 15, 10, 13, 12, 15, 12, 10, 13, 17, 20, 13, 15, 15, 11, 16, 19, 17, 12, 15, 17, 13, 13, 19, 20, 18, 18, 12, 19, 12, 17, 18, 18, 19, 15, 10, 15, 10, 11, 17, 15, 16, 14, 15, 12, 20, 20, 19, 17, 13, 12, 17, 17, 20, 11, 19, 18, 16, 19, 14, 17, 18, 14, 17, 16, 13, 12, 20, 17, 19, 20, 19, 14, 13, 13, 11, 12, 19, 14, 18, 20, 19, 17, 10, 17, 17, 14, 13, 16, 12, 13, 11, 20, 14, 16, 11, 17, 17, 17], 10, 101, 7
[16, 11, 10, 12, 18, 10, 12, 12, 18, 20, 19, 14, 20, 16, 13, 19, 12, 20, 19, 15, 12, 10, 15, 20, 12, 11, 20, 20, 16, 10, 17, 19, 14, 19, 19, 15, 17, 10, 20, 20, 20, 16, 17, 20, 17, 11, 20, 19, 20, 18, 11, 13, 16, 10, 12, 15, 15, 16, 15, 10, 20, 16, 18, 20, 18, 15, 12, 15, 12, 15, 14, 18, 10, 17, 10, 10, 15, 16, 18, 18, 14, 19, 16, 18, 16, 17, 10, 12, 15, 19, 11, 10, 20, 10, 19, 19, 17, 13, 11, 19, 16], 10, 101, 8
[13, 19, 19, 20, 14, 18, 18, 13, 16, 18, 11, 16, 16, 18, 17, 18, 20, 15, 10, 19, 13, 14, 14, 18, 19, 14, 15, 10, 10, 14, 13, 12, 15, 20, 16, 13, 20, 11, 12, 15, 18, 15, 16, 14, 19, 14, 12, 17, 16, 18, 11, 11, 11, 10, 13, 11, 18, 10, 13, 19, 18, 12, 13, 19, 14, 14, 20, 16, 10, 12, 14, 20, 17, 17, 11, 15, 11, 10, 19, 11, 10, 13, 10, 15, 14, 19, 18, 11, 13, 20, 18, 15, 11, 18, 18, 20, 13, 17, 12, 14, 12], 10, 101, 9
[12, 11, 13, 17, 20, 11, 15, 12, 12, 19, 17, 17, 10, 19, 13, 16, 11, 17, 12, 14, 10, 11, 17, 19, 10, 16, 15, 16, 17, 10, 13, 18, 14, 11, 11, 18, 16, 10, 11, 18, 15, 16, 14, 18, 15, 13, 13, 19, 14, 18, 11, 12, 18, 17, 12, 19, 10, 16, 20, 14, 18, 10, 16, 20, 16, 11, 16, 20, 17, 19, 14, 16, 14, 12, 12, 17, 16, 18, 17, 19, 16, 19, 11, 10, 10, 15, 16, 18, 19, 17, 20, 18, 13, 17, 12, 18, 16, 16, 12, 16, 15], 10, 101, 10
