,T, N, M, i
[19, 11, 16, 14, 16, 18, 20, 18, 11, 15, 15, 17, 19, 20, 11, 13, 16, 20, 11, 10, 18, 17, 19, 19, 12, 20, 12, 20, 15, 15, 13, 12, 10, 12, 17, 14, 10, 19, 19, 15, 11, 10, 10, 17, 18, 15, 13, 18, 10, 16, 14, 18, 18, 11, 17, 13, 19, 18, 14, 14, 17, 12, 14, 16, 15, 14, 15, 18, 12, 18, 18], 5, 70, 0
[17, 20, 17, 16, 10, 11, 16, 13, 15, 19, 20, 18, 16, 12, 18, 17, 12, 19, 19, 19, 12, 17, 15, 17, 12, 18, 13, 16, 19, 12, 16, 10, 19, 13, 18, 10, 17, 11, 12, 20, 18, 18, 17, 18, 18, 13, 20, 18, 18, 11, 14, 12, 10, 17, 13, 10, 19, 10, 20, 18, 13, 10, 20, 11, 13, 16, 15, 18, 14, 11, 12], 5, 70, 1
[19, 12, 17, 17, 18, 14, 10, 11, 13, 10, 14, 16, 19, 15, 20, 20, 11, 12, 13, 12, 16, 12, 10, 15, 20, 10, 11, 17, 17, 12, 20, 19, 12, 11, 18, 16, 17, 12, 20, 11, 12, 20, 11, 19, 10, 20, 14, 15, 16, 10, 13, 12, 14, 20, 16, 20, 14, 19, 15, 15, 16, 13, 12, 19, 20, 19, 15, 20, 14, 15, 19], 5, 70, 2
[12, 15, 12, 14, 20, 14, 14, 11, 16, 11, 16, 20, 17, 17, 20, 15, 10, 20, 13, 10, 19, 12, 12, 15, 20, 11, 18, 14, 16, 18, 10, 11, 13, 15, 13, 10, 16, 16, 16, 18, 19, 17, 11, 18, 14, 16, 10, 19, 11, 19, 10, 19, 16, 10, 13, 12, 10, 12, 16, 14, 13, 17, 11, 16, 11, 20, 20, 19, 10, 19, 14], 5, 70, 3
[10, 10, 13, 12, 20, 20, 13, 14, 12, 18, 15, 13, 10, 10, 16, 10, 16, 20, 10, 19, 13, 17, 17, 13, 16, 18, 10, 18, 13, 10, 18, 11, 15, 20, 20, 19, 11, 19, 15, 10, 13, 19, 16, 16, 18, 16, 12, 15, 10, 10, 19, 17, 16, 16, 15, 18, 17, 14, 16, 18, 15, 10, 20, 15, 14, 11, 15, 13, 17, 11, 11], 5, 70, 4
[15, 17, 19, 10, 16, 16, 16, 10, 12, 19, 10, 13, 10, 15, 11, 19, 15, 14, 17, 15, 19, 15, 10, 20, 17, 12, 13, 18, 12, 13, 20, 12, 13, 13, 11, 12, 20, 17, 12, 15, 20, 16, 10, 17, 19, 17, 10, 14, 15, 13, 16, 17, 10, 19, 16, 17, 20, 10, 12, 19, 19, 18, 16, 14, 11, 20, 20, 13, 11, 18, 19], 5, 70, 5
[19, 20, 19, 16, 16, 17, 20, 12, 10, 15, 17, 10, 11, 19, 14, 18, 15, 16, 12, 20, 20, 11, 15, 20, 16, 13, 12, 17, 17, 13, 10, 15, 11, 12, 13, 18, 19, 12, 11, 20, 14, 18, 11, 15, 18, 14, 19, 11, 12, 14, 17, 14, 17, 15, 17, 11, 18, 10, 15, 16, 14, 10, 10, 20, 13, 13, 13, 18, 13, 20, 15], 5, 70, 6
[13, 13, 12, 14, 14, 18, 20, 20, 15, 18, 16, 13, 20, 10, 17, 16, 19, 10, 20, 17, 13, 17, 13, 18, 14, 16, 11, 15, 16, 20, 17, 20, 20, 16, 14, 14, 18, 15, 16, 17, 11, 19, 19, 10, 15, 11, 13, 16, 15, 10, 18, 14, 14, 11, 10, 11, 10, 10, 16, 15, 11, 12, 19, 18, 12, 20, 16, 20, 14, 12, 16], 5, 70, 7
[18, 15, 10, 17, 10, 16, 18, 19, 20, 16, 16, 19, 12, 18, 16, 16, 11, 10, 13, 13, 15, 10, 20, 11, 19, 13, 20, 17, 13, 10, 17, 15, 16, 16, 16, 10, 11, 12, 13, 12, 18, 16, 14, 11, 15, 11, 20, 11, 14, 12, 10, 19, 17, 14, 16, 17, 11, 19, 14, 16, 18, 13, 15, 10, 18, 19, 12, 20, 15, 15, 20], 5, 70, 8
[19, 17, 11, 20, 16, 11, 12, 16, 11, 17, 13, 10, 19, 18, 11, 13, 20, 19, 14, 20, 14, 11, 19, 16, 20, 10, 12, 12, 16, 12, 16, 11, 12, 11, 16, 12, 13, 18, 17, 17, 13, 20, 17, 19, 13, 13, 19, 17, 16, 14, 15, 10, 10, 15, 13, 15, 20, 18, 17, 20, 13, 20, 14, 14, 12, 19, 20, 12, 20, 19, 18], 5, 70, 9
