,T, N, M, i
[15, 16, 19, 19, 16, 16, 20, 15, 17, 18, 16, 20, 16, 16, 19, 18, 15, 19, 19, 16, 20, 17, 15, 20, 20, 17, 19, 17, 19, 19, 20, 18, 16, 17, 16, 20, 18, 18, 17, 15, 15, 16, 16, 15, 15, 19, 19, 17, 15, 18, 18, 20, 18, 15, 18, 18, 18, 17, 17, 20, 18, 15, 18, 20, 17, 19, 20, 20, 19, 16, 18, 15, 15, 20, 15, 16, 15, 15, 18, 18, 15, 20, 19, 19, 18, 15, 18, 20, 17, 20, 19, 20, 17, 20, 18, 19, 19, 16, 20, 18], 10, 100, 0
[19, 15, 17, 20, 20, 16, 19, 19, 17, 15, 19, 18, 17, 15, 18, 15, 20, 17, 19, 19, 20, 17, 18, 15, 20, 17, 19, 17, 19, 15, 17, 15, 17, 19, 19, 17, 17, 16, 20, 17, 19, 17, 19, 19, 20, 20, 16, 17, 18, 19, 20, 16, 17, 19, 15, 16, 19, 18, 20, 18, 17, 19, 18, 17, 16, 19, 15, 17, 17, 18, 20, 17, 17, 15, 15, 17, 15, 15, 16, 17, 18, 18, 15, 16, 18, 18, 19, 19, 18, 16, 20, 16, 19, 15, 16, 17, 16, 16, 20, 15], 10, 100, 1
[18, 17, 16, 16, 16, 18, 18, 17, 19, 16, 15, 18, 16, 15, 19, 16, 18, 19, 18, 18, 18, 19, 18, 20, 18, 17, 15, 19, 16, 19, 18, 19, 19, 18, 16, 20, 16, 18, 18, 20, 20, 18, 18, 20, 15, 17, 16, 17, 19, 20, 20, 19, 17, 18, 20, 15, 15, 20, 15, 16, 17, 16, 15, 19, 17, 20, 17, 18, 18, 17, 18, 18, 19, 15, 17, 15, 19, 19, 18, 20, 17, 15, 20, 18, 16, 18, 15, 20, 16, 18, 20, 15, 16, 18, 20, 20, 15, 16, 16, 19], 10, 100, 2
[18, 17, 16, 18, 17, 17, 17, 20, 15, 18, 18, 18, 19, 18, 20, 19, 17, 17, 18, 16, 15, 17, 17, 19, 15, 19, 17, 17, 19, 18, 18, 18, 19, 16, 17, 18, 20, 16, 18, 18, 20, 18, 18, 19, 15, 15, 20, 20, 16, 19, 18, 18, 20, 18, 20, 16, 19, 16, 20, 18, 19, 20, 20, 15, 20, 15, 16, 15, 15, 17, 18, 18, 18, 20, 18, 20, 18, 15, 19, 16, 19, 20, 15, 20, 16, 17, 15, 15, 15, 20, 15, 18, 20, 20, 16, 20, 16, 19, 20, 18], 10, 100, 3
[16, 19, 19, 15, 17, 16, 18, 17, 20, 18, 15, 18, 19, 16, 16, 19, 17, 18, 15, 18, 19, 17, 18, 18, 16, 16, 17, 18, 15, 19, 19, 18, 15, 16, 15, 17, 16, 18, 17, 19, 15, 17, 19, 20, 20, 19, 17, 15, 19, 15, 17, 15, 16, 18, 19, 17, 16, 18, 15, 20, 18, 19, 16, 15, 20, 20, 15, 17, 19, 18, 20, 20, 15, 15, 20, 19, 18, 18, 16, 20, 17, 18, 20, 19, 19, 17, 16, 19, 15, 18, 17, 18, 15, 18, 18, 19, 20, 16, 20, 16], 10, 100, 4
[15, 16, 18, 18, 19, 16, 19, 16, 17, 18, 19, 16, 18, 18, 17, 15, 17, 15, 17, 15, 15, 20, 16, 16, 15, 20, 17, 17, 18, 19, 16, 19, 20, 17, 18, 17, 20, 20, 16, 20, 18, 15, 20, 17, 16, 18, 19, 17, 17, 16, 15, 15, 15, 15, 19, 20, 18, 16, 19, 18, 18, 15, 15, 18, 16, 16, 20, 16, 18, 17, 17, 18, 16, 16, 15, 20, 15, 18, 18, 17, 17, 18, 16, 20, 19, 18, 17, 15, 17, 19, 19, 20, 18, 19, 20, 16, 20, 18, 20, 15], 10, 100, 5
[18, 20, 18, 19, 17, 15, 15, 19, 15, 16, 17, 17, 15, 16, 15, 16, 15, 15, 20, 15, 15, 17, 19, 18, 18, 15, 17, 20, 17, 16, 16, 15, 15, 20, 16, 17, 19, 20, 17, 19, 15, 20, 17, 19, 17, 19, 19, 15, 18, 18, 15, 19, 16, 19, 19, 15, 20, 20, 18, 18, 15, 17, 15, 17, 15, 18, 18, 15, 18, 16, 18, 16, 17, 16, 17, 20, 19, 19, 16, 20, 17, 18, 20, 16, 16, 18, 17, 15, 17, 19, 20, 19, 16, 18, 18, 17, 20, 18, 16, 15], 10, 100, 6
[17, 20, 20, 17, 17, 20, 18, 16, 18, 16, 16, 20, 17, 15, 20, 19, 15, 16, 18, 16, 20, 18, 20, 19, 19, 16, 20, 18, 18, 18, 19, 17, 16, 20, 15, 17, 15, 17, 17, 19, 18, 19, 17, 18, 19, 20, 16, 15, 17, 15, 15, 19, 20, 15, 20, 20, 18, 17, 19, 17, 16, 15, 20, 15, 20, 16, 16, 15, 18, 18, 17, 16, 17, 17, 19, 18, 15, 15, 15, 20, 17, 15, 19, 18, 17, 16, 19, 20, 20, 17, 16, 16, 16, 19, 17, 19, 16, 19, 20, 17], 10, 100, 7
[18, 15, 16, 19, 18, 16, 20, 20, 19, 20, 15, 19, 17, 15, 16, 15, 18, 20, 17, 15, 20, 20, 15, 15, 17, 18, 18, 20, 15, 18, 16, 15, 15, 18, 19, 20, 18, 19, 15, 20, 19, 16, 19, 18, 18, 15, 15, 16, 17, 18, 15, 19, 18, 19, 17, 15, 20, 17, 16, 19, 19, 17, 15, 19, 19, 17, 15, 15, 16, 19, 17, 16, 17, 20, 16, 15, 15, 17, 19, 19, 16, 19, 19, 18, 15, 20, 18, 16, 19, 19, 17, 20, 16, 15, 17, 17, 17, 19, 17, 15], 10, 100, 8
[16, 20, 17, 15, 20, 15, 15, 18, 17, 20, 19, 17, 19, 20, 17, 20, 17, 20, 20, 15, 15, 16, 19, 20, 17, 16, 20, 15, 20, 16, 17, 20, 15, 15, 17, 18, 19, 17, 19, 17, 15, 15, 20, 19, 17, 20, 18, 19, 16, 18, 19, 18, 20, 18, 18, 18, 19, 20, 15, 18, 20, 17, 17, 17, 20, 20, 15, 17, 16, 18, 20, 16, 18, 19, 16, 18, 16, 18, 16, 16, 18, 15, 16, 16, 18, 17, 19, 20, 18, 18, 18, 16, 17, 18, 19, 16, 20, 15, 20, 15], 10, 100, 9
