,T, N, M, i
[20, 15, 17, 13, 20, 12, 20, 16, 13, 14, 20, 14, 15, 11, 20, 18, 15, 20, 11, 10, 12, 11, 11, 11, 13, 13, 12, 12, 16, 13, 18, 14, 12, 18, 13, 20, 15, 15, 13, 13], 5, 40, 0
[19, 17, 10, 16, 11, 20, 11, 16, 16, 11, 14, 12, 18, 14, 11, 11, 15, 14, 20, 19, 18, 16, 11, 17, 16, 16, 14, 20, 17, 14, 19, 14, 20, 19, 19, 14, 18, 18, 18, 20], 5, 40, 1
[19, 18, 17, 20, 16, 16, 19, 15, 19, 19, 18, 13, 18, 19, 14, 14, 18, 19, 15, 16, 19, 16, 12, 11, 10, 12, 20, 12, 20, 15, 16, 18, 12, 13, 11, 15, 12, 10, 12, 11], 5, 40, 2
[16, 10, 11, 15, 17, 18, 16, 18, 15, 11, 20, 17, 20, 12, 13, 17, 19, 16, 20, 20, 15, 12, 18, 20, 13, 18, 11, 17, 11, 11, 15, 12, 17, 15, 16, 20, 16, 18, 19, 12], 5, 40, 3
[12, 12, 13, 19, 13, 11, 16, 19, 10, 10, 11, 16, 11, 17, 11, 10, 16, 14, 11, 20, 13, 14, 16, 18, 18, 14, 11, 15, 10, 11, 10, 18, 10, 14, 17, 19, 11, 12, 13, 20], 5, 40, 4
[14, 10, 13, 17, 11, 13, 15, 10, 15, 16, 19, 11, 19, 16, 16, 17, 10, 20, 12, 18, 18, 11, 11, 17, 14, 16, 11, 11, 17, 10, 17, 12, 15, 11, 13, 19, 20, 20, 19, 18], 5, 40, 5
[16, 18, 12, 18, 17, 10, 15, 18, 13, 12, 14, 11, 15, 18, 19, 12, 16, 20, 11, 14, 20, 19, 10, 20, 20, 17, 18, 15, 14, 10, 16, 18, 11, 20, 17, 10, 15, 20, 15, 13], 5, 40, 6
[12, 18, 20, 15, 18, 14, 16, 17, 16, 17, 13, 20, 16, 14, 10, 10, 20, 12, 13, 15, 15, 11, 19, 16, 15, 19, 17, 18, 11, 13, 14, 19, 20, 12, 11, 11, 18, 14, 19, 18], 5, 40, 7
[12, 10, 19, 15, 20, 20, 18, 13, 20, 16, 20, 17, 11, 19, 16, 14, 12, 14, 20, 16, 12, 20, 15, 14, 18, 16, 13, 20, 11, 18, 18, 19, 20, 12, 10, 18, 17, 19, 17, 12], 5, 40, 8
[16, 15, 19, 20, 12, 20, 19, 10, 11, 19, 16, 15, 19, 15, 16, 15, 17, 12, 20, 17, 17, 15, 13, 11, 11, 10, 11, 14, 11, 15, 12, 13, 14, 16, 20, 17, 20, 14, 17, 10], 5, 40, 9
[12, 18, 12, 18, 16, 15, 12, 14, 19, 16, 11, 10, 19, 19, 17, 12, 15, 11, 15, 13, 10, 14, 15, 20, 16, 19, 12, 16, 18, 20, 18, 14, 10, 20, 17, 12, 10, 14, 14, 19], 5, 40, 10
[20, 17, 17, 11, 11, 16, 19, 18, 16, 14, 18, 18, 12, 15, 19, 15, 10, 11, 18, 13, 13, 12, 13, 18, 18, 14, 14, 13, 13, 14, 12, 16, 12, 18, 16, 15, 15, 10, 13, 10], 5, 40, 11
[15, 19, 20, 11, 10, 20, 14, 11, 10, 17, 10, 10, 20, 13, 12, 11, 15, 16, 12, 16, 16, 19, 12, 15, 13, 15, 13, 14, 10, 13, 12, 18, 14, 16, 17, 10, 11, 14, 10, 17], 5, 40, 12
[14, 14, 13, 18, 17, 18, 11, 18, 19, 20, 20, 14, 18, 16, 17, 19, 17, 14, 17, 15, 20, 13, 11, 10, 14, 11, 16, 19, 17, 20, 12, 13, 14, 13, 13, 15, 20, 19, 18, 13], 5, 40, 13
[15, 18, 17, 19, 18, 11, 19, 12, 14, 11, 17, 20, 13, 20, 17, 15, 16, 10, 17, 12, 10, 17, 12, 19, 20, 19, 13, 17, 19, 19, 15, 20, 15, 13, 10, 17, 17, 18, 19, 16], 5, 40, 14
[16, 19, 14, 12, 19, 19, 18, 17, 16, 19, 10, 14, 20, 15, 18, 14, 20, 10, 20, 17, 16, 19, 15, 14, 10, 13, 17, 14, 20, 13, 12, 11, 16, 20, 16, 17, 10, 17, 13, 18], 5, 40, 15
